lemma,inferred,segmentation,member1,member1_category,member1_subcategory,member2,member2_category,member2_subcategory,analysis_count,member_count
ἄρρηκτος,0,ἄ+ρρηκτος,ἀ/ἀν,d,,ρήγνυμι,v,athematic,1,2
Ἀρσίνοος,0,Ἀρσί+νοος,ἀείρω/ἀραρίσκω,v,thematic,νοῦς,n,u-stem,1,2
ἀρτιεπής,0,ἀρτι+επής,ἀραρίσκω,v,thematic,ἔπος,n,s-stem,1,2
ἀρτίπους,0,ἀρτί+πους,ἀραρίσκω,v,thematic,ποῦς,n,C-stem,1,2
ἀρχέκακος,0,ἀρχέ+κακος,ἄρχω,v,thematic,κακόν,n,thematic,1,2
Ἀρχέλοχος,0,Ἀρχέ+λοχος,ἄρχω,v,thematic,λόχος,n,thematic,1,2
ἄσβεστος,0,ἄ+σβεστος,ἀ/ἀν,d,,σβέννυμι,v,athematic,1,2
ἀσήμαντος,0,ἀ+σήμαντος,ἀ/ἀν,d,,σημαίνω,v,thematic,1,2
ἀσκελής,0,ἀ+σκελής,ἀ/ἀν,d,,σκέλλω,v,thematic,1,2
ἄσκοπος ,0,ἄ+σκοπος ,ἀ/ἀν,d,,σκέπτομαι,v,thematic,1,2
ἄσπερμος,0,ἄ+σπερμος,ἀ/ἀν,d,,σπέρμα,n,n-stem,1,2
ἀσπερχής,0,ἀ+σπερχής,ἀ/ἀν,d,,σπέρχομαι,v,thematic,1,2
ἄσπετος,0,ἄ+σπετος,ἀ/ἀν,d,,ἔννεπε,v,?,1,2
Ἀστύαλος,0,Ἀστύ+αλος,ἄστυ,n,u-stem,ἅλς,n,l-stem,1,2
Ἀστυάναξ,0,Ἀστυ+άναξ,ἄστυ,n,u-stem,ἄναξ,n,C-stem,1,2
ἀστυβοώτης,0,ἀστυ+βοώτης,ἄστυ,n,u-stem,βοάω,v,thematic,1,2
Ἀστύνοος,0,Ἀστύ+νοος,ἄστυ,n,u-stem,νοέω,v,thematic,1,2
Ἀστύνοος,0,Ἀστύ+νοος,ἄστυ,n,u-stem,νοῦς,n,u-stem,1,2
Ἀστυόχος,0,Ἀστυ+όχος,ἄστυ,n,u-stem,ἔχω,v,thematic,1,2
Ἀστύπυλος,0,Ἀστύ+πυλος,ἄστυ,n,u-stem,πύλη,n,-ā/a,1,2
ἀσφαλής,0,ἀ+σφαλής,ἀ/ἀν,d,,σφάλλω,v,thematic,1,2
ἀσχετος,0,ἀ+σχετος,ἀ/ἀν,d,,σχεῖν,v,thematic,1,2
ἀτάλαντος,0,ἀ+τάλαντος,ἀ/ἀν,d,,τάλαντον,n,thematic,1,2
ἀταλάφρων,0,ἀταλά+φρων,ἀταλός,a,thematic,φρήν,n,n-stem,1,2
ἀταρβής,0,ἀ+ταρβής,ἀ/ἀν,d,,τάρβος,n,s-stem,1,2
ἀτάρβητος,0,ἀ+τάρβητος,ἀ/ἀν,d,,ταρβέω,v,thematic,1,2
ἀτειρής,0,ἀ+τειρὴς,ἀ/ἀν,d,,τείρω,v,thematic,1,2
ἀτέλεστος,0,ἀ+τέλεστος,ἀ/ἀν,d,,τελέω,v,thematic,1,2
ἀτελεύτητος,0,ἀ+τελεύτητος,ἀ/ἀν,d,,τελευτάω,v,thematic,1,2
ἀτερπής,0,ἀ+τερπής,ἀ/ἀν,d,,τέρπω,v,thematic,1,2
ἀτίμητος,0,ἀ+τίμητος,ἀ/ἀν,d,,τιμάω,v,thematic,1,2
ἄτιμος,0,ἄ+τιμος,ἀ/ἀν,d,,τιμή,n,-ā/a,1,2
ἄτιτος,0,ἄ+τιτος,ἀ/ἀν,d,,τίνω,v,thematic,1,2
ἄτλητος,0,ἄ+τλητος,ἀ/ἀν,d,,τλάω,v,thematic,1,2
ἀτρέμης,1,ἀ+τρέμης,ἀ/ἀν,d,,τρέμω,v,thematic,1,2
ἄτρομος,0,ἄ+τρομος,ἀ/ἀν,d,,τρέμω,v,thematic,1,2
ἀτρύγετος,0,ἀ+τρύγετος,ἀ/ἀν,d,,τρύγω,v,thematic,1,2
αὐλῶπις,0,αὐλ(ό+ο)πις,αὐλός,n,thematic,ὄπις,n,C-stem,2,2
αὔλωψ,1,αὔλ+ωψ,αὐλός,n,thematic,ὤψ,n,C-stem,2,2
ἄϋπνος,0,ἄ+ϋπνος,ἀ/ἀν,d,,ὕπνος,n,thematic,1,2
αὐτῆμαρ,0,αὐτ+ῆμαρ,αὐτός,a,thematic,ἦμαρ,n,r-stem,1,2
αὐτοκασίγνητος,0,αὐτο+κασίγνητος,αὐτός,a,thematic,κασίγνητος,n,thematic,1,3
Αὐτόλυκος,0,Αὐτό+λυκος,αὐτός,a,thematic,λύκος,n,thematic,1,2
αὐτόματος,0,αὐτό+ματος,αὐτός,a,thematic,μαίομαι,v,thematic,1,2
Αὐτομέδων,0,Αὐτο+μέδων,αὐτός,a,thematic,μέδω,v,thematic,1,2
Αὐτόνοος,0,Αὐτό+νοος,ἀυτός,a,thematic,νοέω,v,thematic,1,2
αὐτονυχί,0,αὐτο+νυχί,αύτός,a,thematic,νύξ,n,C-stem,1,2
αὐτοστάδιος,1,αὐτο+στάδιος,αὐτός,a,thematic,στάδιος,a,thematic,1,2
Αὐτόφονος,0,Αὐτό+φονος,ἀυτός,a,thematic,θείνω,v,thematic,1,2
αὐτοχόωνον,0,αὐτο+χόωνον,αὐτός,a,thematic,χόανος,n,thematic,1,2
ἄφαλος,0,ἄ+φαλος,ἀ/ἀν,d,,φαλός,n,thematic,1,2
ἀφαμαρτο-,0,ἀφ+αμαρτο-,ἀπό,r,,ἁμαρτάνω,v,thematic,1,2
ἀφαμαρτοεπής,0,ἀφαμαρτο+επής,ἀφαμαρτο-,a,thematic,ἔπος,n,s-stem,1,3
ἄφαντος,0,ἄ+φαντος,ἀ/ἀν,d,,φαίνω,v,thematic,1,2
Ἀφαρεύς,0,Ἀ+φαρεύς,ἀ/ἀν,d,,φᾶρος?,n,thematic,1,2
-αφῆλιξ,0,-αφ+ῆλιξ,ἀπό,r,,ἧλιξ,n,C-stem,1,2
ἄφθιτος,0,ἄ+φθιτος,ἀ/ἀν,d,,φθίνω,v,thematic,1,2
ἀφραδής,1,ἀ+φραδής,ἀ/ἀν,d,,φράζω,v,thematic,1,2
ἀφρήτωρ,0,ἀ+φρήτωρ,ἀ/ἀν,d,,φρήτρη,n,-ā/a,1,2
ἄφρονά,0,ἄ+φρονά,ἀ/ἀν,d,,φρήν,n,n-stem,1,2
ἄφυλλος,0,ἄ+φυλλος,ἀ/ἀν,d,,φύλλον,n,thematic,1,2
Ἀψευδής,0,Ἀ+ψευδής,ἀ/ἀν,d,,ψεῦδος,n,s-stem,1,2
ἀψόρροος,0,ἀψ+όρροος,ἄψ,d,,ῥέω,v,thematic,1,2
ἄωρος,0,ἄ+ωρος,ἀ/ἀν,d,,ὥρα,n,-ā/a,1,2
βαθυδίνης,0,βαθυ+δίνης,βαθύς,a,u-stem,δίνη,n,-ā/a,1,2
βαθύζωνος,0,βαθύ+ζωνος,βαθύς,a,u-stem,ζώνη,n,-ā/a,1,2
Βαθυκλῆς,0,Βαθυ+κλῆς,βαθύς,a,u-stem,κλέος,n,s-stem,2,2
Βαθυκλῆς,0,Βαθυ+κλῆς,βαθύς,a,u-stem,κλέω,v,thematic,2,2
βαθύκολπος,0,βαθύ+κολπος,βαθύς,a,u-stem,κόλπος,n,thematic,1,2
βαθύλειμος,0,βαθύ+λειμος,βαθύς,a,u-stem,λείμων,n,n-stem,1,2
βαθυρρείτης,0,βαθυ+ρρείτης,βαθύς,a,u-stem,ῥέω,v,thematic,1,2
βαθύρροος,0,βαθύ+ρροος,βαθύς,a,u-stem,ῥέω,v,thematic,1,2
βαθύσχοινον,0,βαθύ+σχοινον,βαθύς,a,u-stem,σχοῖνος,n,thematic,1,2
βαρβαρόφωνος,0,βαρβαρό+φωνος,βάρβαρος,a,thematic,φωνή,n,-ā/a,1,2
Βελλεροφόντης,0,Βελλερο+φόντης,Βελλερος?,n,thematic,θείνω,v,thematic,1,2
βλοσυρῶπις,0,βλοσυρ(ό+ο)πις,βλοσυρός,a,thematic,ὄπις,n,C-stem,2,2
βλοσύρωψ,1,βλοσύρ+ωψ,βλοσυρός,a,thematic,ὤψ,n,C-stem,2,2
Βοάγριος,0,Βο+άγριος,βοῦς,n,u-stem,ἄγριος,a,thematic,1,2
βοηθόος,0,βοη+θόος,βοή,n,-ā/a,θέω,v,thematic,1,2
βοηλασία,0,βο+ηλασία,βοῦς,n,u-stem,ἐλαύνω,v,thematic,1,2
βουγάϊος,0,βου+γάϊος,βοῦς,n,u-stem,γαίω?,v,thematic,1,2
βουκόλος,0,βου+κόλος,βοῦς,n,u-stem,πέλω,v,thematic,1,2
βουληφόρος,0,βουλη+φόρος,βουλή,n,-ā/a,φέρω,v,thematic,1,2
βουπλῆξ,0,βου+πλῆξ,βοῦς,n,u-stem,πλήσσω,v,thematic,1,2
Βουπράσιος,0,Βου+πράσιος,βοῦς,n,u-stem,πράσιος?,n,thematic,1,2
βοῶπις,0,βο(ό+ο)πις,βοῦς,n,u-stem,ὄπις,n,C-stem,2,2
βόωψ,1,βό+ωψ,βοῦς,n,u-stem,ὤψ,n,C-stem,2,2
βριήπυος,0,βρι+ήπυος,βρι-?,?,,ἀπύω,v,thematic,1,2
βροτολοιγός,0,βροτο+λοιγός,βροτός,n,thematic,λοιγός,n,thematic,1,2
βωτιάνειρα,0,βωτι+άνειρα,βώσκω ,v,thematic,ἀνήρ,n,r-stem,1,2
γαιήοχος,0,γαιή+οχος,γαῖα,n,-ā/a,ἔχω,v,thematic,1,2
γαμψῶνυξ,0,γαμψ(ό+ο)νυξ,γαμψός,a,-ā/a,ὄνυξ,n,C-stem,1,2
Γανυμήδης,0,Γανυ+μήδης,γανυ-?,?,,μήδομαι,v,athematic,1,2
γλακτοφάγος,0,γλακτο+φάγος,γάλα,n,C-stem,φαγεῖν,v,thematic,1,2
γλαυκῶπις ,0,γλαυκ(ό+ο)πις,γλαυκός,a,thematic,ὄπις,n,C-stem,2,2
γλαυκώψ,1,γλαυκ+ώψ,γλαυκός,a,thematic,ὤψ,n,C-stem,2,2
γλυκύθυμος,0,γλυκύ+θυμος,γλυκύς,a,u-stem,θυμός,n,thematic,1,2
γυναιμανής,0,γυναι+μανής,γυνή,n,C-stem,μαίνομαι,v,thematic,1,2
γυναιμανής,0,γυναι+μανής,γυνή,n,C-stem,μαίομαι,v,thematic,1,2
δαϊκτάμενος,0,δαϊ+κτάμενος,δαΐος?,a/n?,thematic,κτείνω,v,thematic,1,2
δαΐφρων,0,δαΐ+φρων,δαΐος?,a/n?,thematic,φρήν,n,n-stem,1,2
δαφοινός,0,δα+φοινός,διά?,r,,φοινός,a,thematic,1,2
Δεισήνωρ,0,Δεισ+ήνωρ,δείδω,v,thematic,ἀνήρ,n,r-stem,1,2
Δηϊκόων,0,Δηϊ+κόων,δαΐος?,a/n?,thematic,κοέω,v,thematic,1,2
Δηϊοπίτης,0,Δηϊο+πίτης,δαΐος?,a/n?,thematic,πίπτω,v,thematic,1,2
Δηΐοχος,0,Δηΐ+οχος,δαΐος?,a/n?,thematic,ἔχω,v,thematic,1,2
Δηΐπυλος,0,Δηΐ+πυλος,δαΐος?,a/n?,thematic,πύλη,n,-ā/a,1,2
Δηΐπυρος,0,Δηΐ+πυρος,δαΐος?,a/n?,thematic,πῦρ,n,r-stem,1,2
Δηίφοβος,0,Δηί+φοβος,δαΐος?,a/n?,thematic,φοβέω,v,thematic,1,2
δημοβόρος,0,δημο+βόρος,δῆμος,n,thematic,βιβρώσκω,v,thematic,1,2
δημογέρων,0,δημο+γέρων,δῆμος,n,thematic,γέρων,n,n-stem,1,2
Δημοκόων,0,Δημο+κόων,δῆμος,n,thematic,κοέω,v,thematic,1,2
Δημολέων,0,Δημο+λέων,δῆμος,n,thematic,λέων,n,n-stem,1,2
Δημοῦχος,0,Δημ(ό+ο)χος,δῆμος,n,thematic,ἔχω,v,thematic,1,2
διαμπερής,0,δι+αμπερής,διά,r,,ἀναπείρω,v,thematic,1,2
δίζυξ,0,δί+ζυξ,δύο ,m,,ζυγόν,n,thematic,1,2
διηνεκής,0,δι+ηνεκής,διά,r,,ἐνεγκεῖν,v,?,1,2
διιπετής,0,διι+πετής,Ζεύς,n,u-stem,πίπτω,v,thematic,1,2
δικασπόλος ,0,δικασ+πόλος ,δίκη,n,-ā/a,πέλω,v,thematic,1,2
δικλίς,0,δι+κλίς,δύο ,m,,κλίνω,v,thematic,1,2
διογενής,0,διο+γενής,Ζεύς,n,u-stem,γίγνομαι,v,thematic,1,2
Διοκλής,0,Διο+κλής,Ζεύς,n,u-stem,κλέος,n,s-stem,2,2
Διοκλής,0,Διο+κλής,Ζεύς,n,u-stem,κλέω,v,thematic,2,2
Διομήδης,0,Διο+μήδης,Ζεύς,n,u-stem,μήδομαι,v,athematic,1,2
διοπτήρ,0,διο+πτήρ,διά,r,,ὄψομαι,v,thematic,1,2
διοτρεφής,0,διο+τρεφής,Ζεύς,n,u-stem,"τρέφω
",v,thematic,1,2
δίπλαξ,0,δί+πλαξ,δύο ,m,,πλέκω,v,thematic,1,2
δίπτυξ,0,δί+πτυξ,δύο ,m,,πτύσσω,v,thematic,1,2
δίσκουρα,0,δίσκ+ουρα,δίσκος,n,thematic,οὖρος,n,thematic,1,2
δολιχεγχής,0,δολιχ+εγχής,δολιχός,a,thematic,ἔγχος,n,s-stem,1,2
δολιχόσκιος,0,δολιχό+σκιος,δολιχός,a,thematic,σκιά,n,-ā/a,1,2
δολομήτης,0,δολο+μήτης,δόλος,n,thematic,μήτις?,n,i-stem,1,2
Δολοπίων,0,Δολ+οπίων,δόλος?,n,thematic,ὄψ?,n,C-stem,1,2
δολόφρων,1,δολό+φρων,δόλος,n,thematic,φρήν,n,n-stem,1,2
δουλιχοδείρος,0,δουλιχο+δείρος,δολιχός,a,thematic,δειρή,n,-ā/a,1,2
δουλιχόδειρος,0,δουλιχό+δειρος,δολιχός,a,thematic,δειρή,n,-ā/a,1,2
δουρηνεκής,0,δουρ+ηνεκής,δόρυ,n,u-stem,ἐνεγκεῖν,v,?,1,2
δουρικλειτός,0,δουρι+κλειτός,δόρυ,n,u-stem,κλέω,v,thematic,1,2
δουρικλυτός,0,δουρι+κλυτός,δόρυ,n,u-stem,κλύω,v,thematic,1,2
δουρικτητής,0,δουρι+κτητής,δόρυ,n,u-stem,κτάομαι,v,thematic,1,2
δρυτόμος,0,δρυ+τόμος,δρῦς,n,u-stem,τέμνω,v,thematic,1,2
δυσαής,0,δυσ+αής,δυσ-,d,,ἄημι,v,athematic,1,2
δυσάμμορος,0,δυσ+άμμορος,δυσ-,d,,ἄμμορος,a,thematic,1,3
δυσαριστοτόκoς,1,δυσ+αριστοτόκoς,δυσ-,d,,ἀριστοτόκoς,a,thematic,1,3
δυσηλεγής,0,δυσ+ηλεγής,δυσ-,d,,ἔλεγος,n,s-stem,1,2
δυσηχής,0,δυσ+ηχής,δυσ-,d,,ἧχος,n,s-stem,1,2
δυσθαλπής,0,δυσ+θαλπής,δυσ-,d,,θάλπω,v,thematic,1,2
δυσκέλαδος,0,δυσ+κέλαδος,δυσ-,d,,κέλαδος,n,thematic,1,2
δυσκλεής,0,δυσ+κλεής,δυσ-,d,,κλέος,n,s-stem,2,2
δυσκλεής,0,δυσ+κλεής,δυσ-,d,,κλέω,v,thematic,2,2
δυσμενής,0,δυσ+μενής,δυσ-,d,,μένος,n,s-stem,1,2
δύσμορος,0,δύσ+μορος,δυσ-,d,,μείρομαι,v,thematic,1,2
Δύσπαρις,0,Δύσ+παρις,δυσ-,d,,Πάρις,n,C-stem,1,2
δυσπέμφελος,0,δυσ+πέμφελος,δυσ-,d,,πεμφελο-?,?,,1,2
δυσχείμερος,0,δυσ+χείμερος,δυσ-,d,,χειμέριος,a,thematic,1,2
δυσώνυμος,0,δυσ+ώνυμος,δυσ-,d,,ὄνομα,n,n-stem,1,2
δυώδεκα,0,δυώ+δεκα,δύο ,m,,δέκα,m,,1,2
δυωδεκάβοιος,0,δυωδεκά+βοιος,δυώδεκα,m,,βοῦς,n,u-stem,1,2
δυωκαιεικοσίμετρον,0,δυωκαιεικοσί+μετρον,δυωκαιείκοσι,m,,μέτρον,n,thematic,1,2
δυωκαιεικοσίπηχυς,0,δυωκαιεικοσί+πηχυς,δυωκαιείκοσι,m,,πῆχυς,n,u-stem,1,2
δώδεκα,0,δώ+δεκα,δύο ,m,,δέκα,m,,1,2
ἐγκέφαλος,0,ἐγκέ+φαλος,ἐν,r,,κεφαλή,n,-ā/a,1,2
ἐγχεσίμωρος,0,ἐγχεσί+μωρος,ἔγχος,n,s-stem,μωρος?,?,,1,2
ἐγχέσπαλος,0,ἐγχέσ+παλος,ἔγχος,n,s-stem,πάλλω,v,thematic,1,2
εἰκοσινήριτος,0,εἰκοσι+νήριτος,εἴκοσιν,m,,-νήριτος,a,thematic,1,2
εἰλίπους,0,εἰλί+πους,ἕλιξ?,n,C-stem,ποῦς,n,C-stem,1,2
εἰναέτης,0,εἰνα+έτης,ἐννέα,m,,ἔτος,n,s-stem,1,2
εἰνάνυχες,0,εἰνά+νυχες,ἐννεά,m,,νύξ,n,C-stem,1,2
εἰνοσίφυλλος,0,εἰνοσί+φυλλος,ἔνοσις?,n,i-stem,φύλλον,n,thematic,2,2
εἰνοσίφυλλος,0,εἰνοσί+φυλλος,ἐνοσι-?,v,?,φύλλον,n,thematic,2,2
εἰροκόμος,0,εἰρο+κόμος,εἶρος,n,s-stem,κόμη,n,-ā/a,1,2
εἰροπόκος,0,εἰρο+πόκος,εἶρος,n,s-stem,πέκω,v,thematic,1,2
ἑκάεργος,0,ἑκά+εργος,ἑκάς,d,,ἔργω,v,thematic,1,2
Ἑκαμήδης,0,Ἑκα+μήδης,ἑκας,d,,μήδομαι,v,athematic,1,2
ἑκατηβελέτης,0,ἑκατη+βελέτης,ἑκάς,d,,βάλλω,v,thematic,1,2
ἑκατήβολος,0,ἑκατή+βολος,ἑκάς,d,,βάλλω,v,thematic,1,2
ἑκατόγχειρος,0,ἑκατόγ+χειρος,ἑκατόν,m,,χείρ,n,r-stem,1,2
ἑκατόζυγος,0,ἑκατό+ζυγος,ἑκατόν,m,,ζυγόν,n,thematic,1,2
ἑκατόμβοιος,0,ἑκατόμ+βοιος,ἑκατόν,m,,βοῦς,n,u-stem,1,2
ἑκατόμπεδος,0,ἑκατόμ+πεδος,ἑκατόν,m,,πέδον,n,thematic,1,2
ἑκατόμπολις,0,ἑκατόμ+πολις,ἑκατόν,m,,πόλις,n,i-stem,1,2
ἑκατόμπυλος,0,ἑκατόμ+πυλος,ἑκατόν,m,,πύλη,n,-ā/a,1,2
ἔκγονος,0,ἔκ+γονος,ἐκ,r,,γίγνομαι,v,thematic,1,2
ἔκδηλος,0,ἔκ+δηλος,ἐκ,r,,δῆλος,a,thematic,1,2
ἑκηβόλος,0,ἑκη+βόλος,ἑκάς,d,,βάλλω,v,thematic,1,2
ἐλαφηβόλος,0,ἐλαφη+βόλος,ἔλαφος,n,thematic,βάλλω,v,thematic,1,2
ἐλεόθρεπτος,0,ἐλεό+θρεπτος,ἕλος,n,s-stem,τρέφω,v,thematic,1,2
Ἐλεφήνωρ,0,Ἐλεφ+ήνωρ,Ἐλεφ-?,?,,ἀνήρ,n,r-stem,1,2
ἑλίκωψ,1,ἑλίκ+ωψ,ἕλιξ,n,C-stem,ὤψ,n,C-stem,1,2
ἑλκεσίπεπλος,0,ἑλκεσί+πεπλος,ἕλκω,v,thematic,πέπλος,n,thematic,1,2
ἑλκέχιτων,0,ἑλκέ+χιτων,ἕλκω,v,thematic,χιτών,n,n-stem,1,2
ἐμβαδόν,0,ἐμ+βαδόν,ἐν,r,,βαίνω,v,thematic,1,2
ἔμπεδος,0,ἔμ+πεδος,ἐν,r,,πέδον,n,thematic,1,2
ἐναίσιμος,0,ἐν+αίσιμος,ἐν,r,,αἶσα,n,-ā/a,1,2
ἐναλίγκιος,0,ἐν+αλίγκιος,ἐν,r,,ἀλίγκιος,a,thematic,1,2
ἐναντίβιος,0,ἐναντί+βιος,ἐνάντιος,a,thematic,βία,n,-ā/a,1,2
ἐνάντιος,0,ἐν+άντιος,ἐν,r,,ἄντιος,a,thematic,1,2
ἐναρίθμιος,0,ἐν+αρίθμιος,ἐν,r,,ἀριθμός,n,thematic,1,2
ἔναυλος,0,ἔν+αυλος,ἐν,r,,αὐλός,n,thematic,1,2
ἕνδεκα,0,ἕν+δεκα,εἵς,m,,δέκα,m,,1,2
ἑνδεκάπηχυς,0,ἑνδεκά+πηχυς,ἔνδεκα,m,,πῆχυς,n,u-stem,1,2
ἐνδέξιος,0,ἐν+δέξιος,ἐν,r,,δεξιός,a,thematic,1,2
ἐνιαυτός,0,ἐνι+αυτός,ἔνος,n,s-stem,-αυ-?,?,,1,2
ἐννεάβοιος,0,ἐννεά+βοιος,ἐννέα,m,,βοῦς,n,u-stem,1,2
ἐννεάπηχυς,0,ἐννεά+πηχυς,ἐννέα,m,,πῆχυς,n,u-stem,1,2
ἐννέωρος,0,ἐννέ+ωρος,ἐννέα,m,,ὥρα,n,-ā/a,1,2
ἐννῆμαρ,0,ἐνν+ῆμαρ,ἐννέα,m,,ἦμαρ,n,r-stem,1,2
ἐννοσίγαιος,0,ἐννοσί+γαιος,ἐνοσι-?,v,?,γαῖα,n,-ā/a,1,2
ἐνόδιος,0,ἐν+όδιος,ἐν,r,,ὁδός,n,thematic,1,2
ἐνοπή,0,ἐν+οπή,ἐν,r,,ὄψ?,n,C-stem,1,2
ἐνοσίχθων,0,ἐνοσί+χθων,ἔνοσις?,n,i-stem,χθών,n,n-stem,2,2
ἐνοσίχθων,0,ἐνοσί+χθων,ἐνοσι-?,v,?,χθών,n,n-stem,2,2
ἐντεσιεργός,0,ἐντεσι+εργός,ἔντεα,n,s-stem,ἔργω,v,thematic,1,2
ἐνώπιος,0,ἐν+ώπιος,ἐν,r,,ὤψ,n,C-stem,1,2
ἔνωψ,1,ἔν+ωψ,ἐν,r,,ὤψ,n,C-stem,1,2
ἔξαρχος,0,ἔξ+αρχος,ἐκ,r,,ἄρχω,v,thematic,1,2
ἔξοχος,0,ἔξ+οχος,ἐκ,r,,ἔχω,v,thematic,1,2
ἐπαίτιος,0,ἐπ+αίτιος,ἐπί,r,,αἰτία,n,-ā/a,1,2
ἐπεσβόλος,0,ἐπεσ+βόλος,ἔπος,n,s-stem,βάλλω,v,thematic,1,2
ἐπημοιβός,0,ἐπ+ημοιβός,ἐπί,r,,ἀμείβω,v,thematic,1,2
ἐπήρατος,0,ἐπ+ήρατος,ἐπί,r,,ἔραμαι,v,athematic,1,2
ἐπηρεφής,0,ἐπ+ηρεφής,ἐπί,r,,ἐρέφω,v,thematic,1,2
ἐπήτριμος,0,ἐπ+ήτριμος,ἐπί,r,,ἥτριον,n,thematic,1,2
ἐπιβλής,0,ἐπι+βλής,ἐπί,r,,βάλλω,v,thematic,1,2
ἐπιγράβδην,0,ἐπι+γράβδην,ἐπί,r,,γράφω,v,thematic,1,2
ἐπίδεξιος,0,ἐπί+δεξιος,ἐπί,r,,δεξιός,a,thematic,1,2
ἐπιδευής,0,ἐπι+δευής,ἐπί,r,,δέω,v,thematic,1,2
ἐπιδήμιος,0,ἐπι+δήμιος,ἐπί,r,,δῆμος,n,thematic,1,2
ἐπιδιφριάς,0,ἐπι+διφριάς,ἐπί,r,,δίφρος,n,thematic,1,2
ἐπίδρομος,0,ἐπί+δρομος,ἐπί,r,,δραμεῖν,v,?,1,2
ἐπιείκελος,0,ἐπι+είκελος,ἐπί,r,,εἴκελος,a,thematic,1,2
ἐπιεικής,0,ἐπι+εικής,ἐπί,r,,εἰκός,n,C-stem,2,2
ἐπιεικής,0,ἐπι+εικής,ἐπί,r,,ἔοικα,v,?,2,2
ἐπιεικτός,0,ἐπι+εικτός,ἐπί,r,,εἴκω,v,thematic,1,2
ἐπίθημα,0,ἐπί+θημα,ἐπί,r,,τίθημι,v,athematic,1,2
Ἐπικλῆς,0,Ἐπι+κλῆς,ἐπί,r,,κλέος,n,s-stem,2,2
Ἐπικλῆς,0,Ἐπι+κλῆς,ἐπί,r,,κλέω,v,thematic,2,2
ἐπίκλησις,0,ἐπί+κλησις,ἐπί,r,,κλέω,v,thematic,1,2
ἐπίκλοπος,0,ἐπί+κλοπος,ἐπί,r,,κλέπτω,v,thematic,1,2
ἐπίκουρος,0,ἐπί+κουρος,ἐπί,r,,κόρος,n,thematic,1,2
ἐπικρατής,1,ἐπι+κρατής,ἐπί,r,,κράτος,n,s-stem,1,2
ἐπιμάρτυρος,0,ἐπι+μάρτυρος,ἐπί,r,,μάρτυρος,n,thematic,1,2
